Date,state,state_kr,macro,ndx_dd,nav_buyhold,nav_strategy
2014-11-03,UPTREND_HEALTHY,정상 상승,14.3,0.0,,
2014-11-04,UPTREND_HEALTHY,정상 상승,16.4,-0.3,0.9969,0.9969
2014-11-05,UPTREND_HEALTHY,정상 상승,15.5,-0.4,0.9962,0.9962
2014-11-06,UPTREND_HEALTHY,정상 상승,14.4,-0.1,0.9988,0.9988
2014-11-07,UPTREND_HEALTHY,정상 상승,17.3,-0.2,0.9979,0.9979
2014-11-10,UPTREND_HEALTHY,정상 상승,16.2,0.0,1.0016,1.0016
2014-11-11,UPTREND_HEALTHY,정상 상승,16.2,0.0,1.0043,1.0043
2014-11-12,UPTREND_HEALTHY,정상 상승,16.2,0.0,1.0063,1.0063
2014-11-13,UPTREND_HEALTHY,정상 상승,18.3,0.0,1.0106,1.0106
2014-11-14,UPTREND_HEALTHY,정상 상승,20.4,0.0,1.0134,1.0134
2014-11-17,UPTREND_HEALTHY,정상 상승,19.8,-0.3,1.0107,1.0107
2014-11-18,UPTREND_HEALTHY,정상 상승,20.8,0.0,1.0175,1.0175
2014-11-19,UPTREND_HEALTHY,정상 상승,20.2,-0.5,1.0128,1.0128
2014-11-20,UPTREND_HEALTHY,정상 상승,21.4,-0.0,1.0175,1.0175
2014-11-21,UPTREND_HEALTHY,정상 상승,21.0,0.0,1.0197,1.0197
2014-11-24,UPTREND_HEALTHY,정상 상승,22.1,0.0,1.0276,1.0276
2014-11-25,UPTREND_HEALTHY,정상 상승,21.5,0.0,1.0285,1.0285
2014-11-26,UPTREND_HEALTHY,정상 상승,21.3,0.0,1.0357,1.0357
2014-11-28,UPTREND_HEALTHY,정상 상승,24.8,0.0,1.0404,1.0404
2014-12-01,UPTREND_HEALTHY,정상 상승,29.1,-1.2,1.0284,1.0284
2014-12-02,UPTREND_HEALTHY,정상 상승,25.6,-0.7,1.0328,1.0328
2014-12-03,UPTREND_HEALTHY,정상 상승,25.0,-0.6,1.0345,1.0345
2014-12-04,UPTREND_HEALTHY,정상 상승,31.2,-0.6,1.0342,1.0342
2014-12-05,UPTREND_HEALTHY,정상 상승,24.5,-0.6,1.0341,1.0341
2014-12-08,UPTREND_HEALTHY,정상 상승,26.6,-1.4,1.0262,1.0262
2014-12-09,UPTREND_HEALTHY,정상 상승,27.5,-1.0,1.0301,1.0301
2014-12-10,UPTREND_HEALTHY,정상 상승,29.6,-2.6,1.0133,1.0133
