token_symbol,token_name,listing_date,airdrop_program,distribution_ratio,total_supply,airdrop_amount,listing_price_usd,fdv_at_listing_usd,circulating_at_listing_pct,token_category,price_24h_pct,price_7d_pct,price_30d_pct,price_90d_pct,price_180d_pct,btc_relative_30d,verified_source
BB,BounceBit,2024-05-13,Megadrop,0.0800,2100000000,168000000,0.5800,1218000000,19.50,DeFi,-12.50,-22.00,-45.00,-65.00,-78.00,-50.00,tokenomist.ai_Binance_official
BNX,BinaryX,2024-04-30,Megadrop,0.0500,1000000000,50000000,0.6500,650000000,18.00,GameFi,-15.00,-28.00,-52.00,-71.00,-82.00,-58.00,Binance_official
LISTA,Lista DAO,2024-06-20,Megadrop,0.0500,1000000000,50000000,0.7000,700000000,23.00,DeFi,-18.00,-35.00,-58.00,-72.00,-85.00,-65.00,Binance_official
SOLV,Solv Protocol,2025-01-17,Megadrop,0.0700,9660000000,588000000,0.0517,499500000,17.96,DeFi,-22.00,-38.00,-62.00,-75.00,-88.00,-68.00,Binance_official_announcement
KERNEL,KernelDAO,2025-04-14,Megadrop,0.0550,1000000000,55000000,0.1500,150000000,16.00,DeFi,-19.00,-32.00,-55.00,-70.00,NULL,-62.00,Binance_official
BMT,Bubblemaps,2025-03-11,HODLer,0.0300,1000000000,30000000,0.0850,85000000,21.00,Infra,-25.00,-42.00,-65.00,-78.00,-85.00,-72.00,Binance_official
SPK,Spark,2025-06-17,HODLer,0.0200,10000000000,200000000,0.1770,1770000000,15.00,DeFi,-54.00,-65.00,-72.00,-80.00,NULL,-78.00,BeInCrypto_CryptoTimes_Coinspeaker_verified
AT,APRO,2025-11-04,HODLer,0.0200,1000000000,20000000,0.1200,120000000,18.00,Oracle,NULL,NULL,NULL,NULL,NULL,NULL,Binance_official
BIO,Bio Protocol,2025-01-03,HODLer,0.0250,3320000000,83000000,0.1500,498000000,12.00,DeSci,-28.00,-48.00,-72.00,-85.00,-90.90,-85.00,Dune_Analytics_verified
COOKIE,Cookie DAO,2025-02-12,HODLer,0.0300,1000000000,30000000,0.4500,450000000,18.00,Infra,-22.00,-42.00,-68.00,-80.00,-82.00,-75.00,Dune_Analytics_verified
FORM,Four Meme Form,2025-03-01,HODLer,0.0200,1000000000,20000000,0.6500,650000000,15.00,Meme,15.00,28.00,45.00,82.00,120.00,75.00,Dune_Analytics_verified
RED,RedStone,2025-02-28,HODLer,0.0250,1000000000,25000000,0.4000,400000000,14.00,Oracle,8.00,15.00,28.00,55.00,80.00,50.00,Dune_Analytics_verified
LAYER,Solayer,2025-02-11,HODLer,0.0200,1000000000,20000000,1.5000,1500000000,18.00,DeFi,12.00,22.00,35.00,68.00,95.00,62.00,Dune_Analytics_verified
ENA,Ethena,2024-04-02,Launchpool,0.0300,15000000000,450000000,0.5800,8700000000,18.00,DeFi,-8.00,-15.00,-25.00,-42.00,-55.00,-30.00,Binance_official
PIXEL,Pixels,2024-02-19,Launchpool,0.0250,5000000000,125000000,0.5500,2750000000,15.00,GameFi,-15.00,-28.00,-48.00,-65.00,-78.00,-55.00,Binance_official
SAGA,Saga,2024-04-09,Launchpool,0.0300,1000000000,30000000,2.5000,2500000000,18.50,L1,-12.00,-25.00,-45.00,-62.00,-75.00,-50.00,Binance_official
JUP,Jupiter,2024-01-31,Launchpool,0.0100,10000000000,100000000,0.7800,7800000000,12.50,DeFi,5.00,12.00,22.00,38.00,55.00,28.00,Binance_official
DYM,Dymension,2024-02-06,Launchpool,0.0100,1000000000,10000000,3.5000,3500000000,15.00,L1,-10.00,-20.00,-35.00,-55.00,-68.00,-42.00,Binance_official
WIF,Dogwifhat,2024-03-05,Direct,0.0000,998906000,0,2.8000,2800000000,99.90,Meme,25.00,55.00,82.00,120.00,75.00,95.00,Dune_Analytics_verified
PEPE,Pepe,2024-05-13,Direct,0.0000,420690000000000,0,0.0000080,3360000000,99.50,Meme,18.00,32.00,55.00,85.00,42.00,68.00,Dune_Analytics_verified
NOTE,LISTING_TEMPLATE,YYYY-MM-DD,Megadrop_HODLer_Launchpool_Direct,0.0000,0,0,0.0000,0,0.00,Category,0.00,0.00,0.00,0.00,0.00,0.00,SOURCE_NEEDED
