code,name,sector,total_return_pct,cagr_pct,vol_pct,mdd_pct,sharpe,calmar,last_price
087010,펩트론,바이오,3202.8,219.74,103.7,-51.0,1.67,4.31,270500.0
000660,SK하이닉스,반도체/AI,2092.3,179.03,55.0,-36.6,2.21,4.89,2360000.0
122630,KODEX 레버리지,ETF,1179.6,133.31,57.2,-43.3,1.83,3.08,215360.0
036930,주성엔지니어링,반도체/AI,1086.1,127.5,81.5,-45.5,1.44,2.8,196900.0
042700,한미반도체,반도체/AI,961.8,119.29,76.7,-67.9,1.43,1.76,275500.0
079550,LIG넥스원,방산/조선,854.7,111.67,67.0,-42.2,1.48,2.64,726000.0
012450,한화에어로스페이스,방산/조선,822.2,109.25,60.7,-34.0,1.56,3.21,1070000.0
006800,미래에셋증권,금융,746.5,103.37,57.0,-31.0,1.57,3.33,57800.0
032830,삼성생명,금융,730.3,102.07,44.5,-29.3,1.86,3.48,480000.0
307950,현대오토에버,자동차,646.8,95.08,68.1,-53.0,1.34,1.79,898000.0
272210,한화시스템,방산/조선,618.6,92.6,71.1,-39.9,1.29,2.32,97400.0
196170,알테오젠,바이오,576.7,88.79,71.9,-41.8,1.27,2.12,357000.0
064350,현대로템,방산/조선,563.0,87.51,56.4,-40.9,1.44,2.14,203000.0
396500,TIGER 반도체TOP10,ETF,511.4,82.52,41.9,-41.4,1.7,1.99,52965.0
329180,HD현대중공업,방산/조선,487.6,80.13,51.6,-31.8,1.44,2.52,673000.0
005930,삼성전자,반도체/AI,439.7,75.12,39.8,-42.8,1.66,1.75,360500.0
071050,한국금융지주,금융,399.7,70.69,44.8,-28.5,1.46,2.48,241500.0
042660,한화오션,방산/조선,390.7,69.66,63.8,-49.6,1.17,1.4,116000.0
039030,이오테크닉스,반도체/AI,371.9,67.48,70.0,-58.4,1.11,1.16,432000.0
381180,TIGER 미국필라델피아반도체나스닥,ETF,359.9,66.04,35.6,-39.7,1.66,1.66,54795.0
010140,삼성중공업,방산/조선,357.9,65.8,47.7,-26.2,1.34,2.51,27700.0
102110,TIGER 200,ETF,333.2,62.79,28.6,-21.7,1.92,2.89,138760.0
005380,현대차,자동차,327.2,62.03,45.3,-38.2,1.33,1.63,729000.0
009540,HD한국조선해양,방산/조선,316.3,60.65,46.5,-30.2,1.29,2.01,383500.0
105560,KB금융,금융,280.0,55.84,37.2,-29.6,1.43,1.88,156600.0
058470,리노공업,반도체/AI,270.0,54.47,53.5,-49.6,1.11,1.1,92800.0
012330,현대모비스,자동차,262.8,53.46,44.3,-27.7,1.22,1.93,759000.0
141080,리가켐바이오,바이오,242.7,50.58,64.7,-36.1,0.97,1.4,147700.0
086790,하나금융지주,금융,238.8,50.01,34.9,-21.1,1.38,2.37,117000.0
000810,삼성화재,금융,228.3,48.45,46.2,-27.7,1.12,1.75,641000.0
055550,신한지주,금융,216.1,46.59,32.8,-27.5,1.37,1.69,96400.0
316140,우리금융지주,금융,209.0,45.49,28.7,-26.0,1.5,1.75,29900.0
010620,HD현대미포,방산/조선,202.8,44.52,42.8,-37.3,1.11,1.19,223000.0
240810,원익IPS,반도체/AI,201.9,44.37,62.6,-50.1,0.91,0.89,97900.0
000990,DB하이텍,반도체/AI,193.6,43.04,58.1,-56.1,0.92,0.77,170100.0
047810,한국항공우주,방산/조선,190.0,42.46,47.3,-28.5,1.01,1.49,147000.0
138040,메리츠금융지주,금융,152.2,36.0,33.9,-29.6,1.11,1.22,106100.0
133690,TIGER 미국나스닥100,ETF,148.9,35.4,19.6,-24.3,1.7,1.46,206240.0
024110,기업은행,금융,141.4,34.02,23.4,-26.5,1.42,1.28,20350.0
000270,기아,자동차,134.3,32.7,39.5,-33.7,0.94,0.97,168800.0
161390,한국타이어앤테크놀로지,자동차,126.2,31.16,40.4,-44.7,0.9,0.7,69800.0
379800,KODEX 미국S&P500,ETF,114.6,28.9,15.2,-19.2,1.82,1.51,26065.0
360750,TIGER 미국S&P500,ETF,113.4,28.65,15.2,-19.2,1.8,1.5,28600.0
005850,에스엘,자동차,111.6,28.29,51.6,-37.5,0.75,0.75,69000.0
192080,더블유게임즈,인터넷/게임,103.1,26.55,31.7,-22.2,0.93,1.2,69900.0
399720,가온칩스,반도체/AI,78.6,21.25,75.0,-77.6,0.63,0.27,53300.0
128940,한미약품,바이오,68.4,18.92,48.5,-41.1,0.61,0.46,507000.0
214150,클래시스,바이오,61.5,17.28,53.7,-43.6,0.57,0.4,42650.0
403870,HPSP,반도체/AI,59.2,16.7,65.6,-65.0,0.57,0.26,44150.0
011210,현대위아,자동차,48.3,14.0,42.5,-44.7,0.53,0.31,84500.0
028300,HLB,바이오,44.5,13.02,71.4,-69.4,0.54,0.19,52100.0
000100,유한양행,바이오,42.1,12.4,46.6,-49.9,0.49,0.25,81500.0
229200,KODEX 코스닥150,ETF,41.9,12.33,34.3,-31.5,0.52,0.39,18570.0
035420,NAVER,인터넷/게임,40.5,11.95,40.4,-33.7,0.49,0.36,280500.0
259960,크래프톤,인터넷/게임,34.2,10.27,40.7,-44.9,0.45,0.23,252000.0
204320,HL만도,자동차,33.7,10.12,48.8,-41.4,0.45,0.24,60000.0
214320,이노션,엔터,23.6,7.3,21.6,-26.2,0.45,0.28,20250.0
005490,POSCO홀딩스,2차전지,20.1,6.26,46.6,-63.9,0.37,0.1,399000.0
326030,SK바이오팜,바이오,18.3,5.76,43.3,-37.2,0.35,0.15,88400.0
068270,셀트리온,바이오,18.2,5.73,36.4,-30.9,0.34,0.19,178952.0
086520,에코프로,2차전지,16.1,5.08,75.3,-84.9,0.43,0.06,127600.0
207940,삼성바이오로직스,바이오,12.8,4.09,31.3,-32.0,0.29,0.13,1367000.0
036570,엔씨소프트,인터넷/게임,8.2,2.65,45.8,-56.8,0.29,0.05,338000.0
073240,금호타이어,자동차,1.3,0.42,38.8,-50.2,0.2,0.01,4800.0
263750,펄어비스,인터넷/게임,-13.1,-4.55,56.4,-53.6,0.2,-0.08,42900.0
006400,삼성SDI,2차전지,-14.4,-5.05,53.0,-78.3,0.16,-0.06,602000.0
251270,넷마블,인터넷/게임,-16.9,-5.96,46.9,-45.5,0.1,-0.13,44900.0
247540,에코프로비엠,2차전지,-20.6,-7.38,70.3,-82.4,0.23,-0.09,198000.0
041510,에스엠,엔터,-20.6,-7.38,46.8,-59.9,0.06,-0.12,78300.0
352820,하이브,엔터,-22.6,-8.18,42.1,-48.4,0.0,-0.17,213500.0
035720,카카오,인터넷/게임,-23.9,-8.66,43.5,-46.3,-0.0,-0.19,42550.0
373220,LG에너지솔루션,2차전지,-24.2,-8.81,48.3,-56.2,0.04,-0.16,442500.0
305720,KODEX 2차전지산업,ETF,-34.7,-13.19,45.7,-74.2,-0.1,-0.18,18830.0
376300,디어유,엔터,-36.3,-13.91,58.1,-61.7,0.02,-0.23,23650.0
096770,SK이노베이션,2차전지,-37.7,-14.56,50.9,-61.0,-0.07,-0.24,116300.0
003670,포스코퓨처엠,2차전지,-38.0,-14.68,65.0,-83.2,0.06,-0.18,222500.0
066970,엘앤에프,2차전지,-43.6,-17.34,75.0,-83.2,0.1,-0.21,150000.0
018880,한온시스템,자동차,-44.6,-17.81,52.5,-70.7,-0.13,-0.25,5000.0
035760,CJ ENM,엔터,-46.5,-18.75,42.9,-57.1,-0.29,-0.33,40750.0
121600,나노신소재,2차전지,-53.4,-22.43,63.6,-74.9,-0.1,-0.3,62500.0
122870,와이지엔터테인먼트,엔터,-53.5,-22.49,48.0,-67.9,-0.31,-0.33,43300.0
035900,JYP Ent.,엔터,-55.2,-23.42,43.1,-69.0,-0.43,-0.34,55500.0
112040,위메이드,인터넷/게임,-57.9,-25.01,63.3,-74.7,-0.16,-0.33,19520.0
034120,SBS,엔터,-59.7,-26.05,45.9,-62.5,-0.47,-0.42,13020.0
253450,스튜디오드래곤,엔터,-60.4,-26.52,38.3,-60.4,-0.65,-0.44,25800.0
194480,데브시스터즈,인터넷/게임,-67.3,-31.03,65.1,-79.2,-0.27,-0.39,15890.0
005070,코스모신소재,2차전지,-72.6,-34.97,62.1,-87.1,-0.41,-0.4,48250.0
293490,카카오게임즈,인터넷/게임,-75.3,-37.16,43.2,-76.4,-0.91,-0.49,9710.0
036420,콘텐트리중앙,엔터,-79.0,-40.49,51.5,-79.4,-0.79,-0.51,4740.0
