date,regime,n_holdings,turnover,nav,holdings
2023-06-02,RISK_ON,10,1.0,99800000.0,"086520(086520),005070(005070),035900(035900),003670(003670),247540(에코프로비엠),122870(122870),042700(042700),012450(한화에어로스페이스),352820(하이브),214150(214150)"
2023-06-09,RISK_ON,10,0.0,104339160.0,"086520(086520),005070(005070),003670(003670),035900(035900),247540(에코프로비엠),042700(042700),122870(122870),352820(하이브),012450(한화에어로스페이스),214150(214150)"
2023-06-16,RISK_ON,10,0.0,109327521.0,"086520(086520),005070(005070),003670(003670),042700(042700),035900(035900),247540(에코프로비엠),214150(214150),352820(하이브),012450(한화에어로스페이스),122870(122870)"
2023-06-23,RISK_ON,10,0.1,111303531.0,"086520(086520),005070(005070),042700(042700),035900(035900),003670(003670),012450(한화에어로스페이스),214150(214150),247540(에코프로비엠),352820(하이브),042660(042660)"
2023-06-30,RISK_ON,10,0.5,106960220.0,"086520(086520),005070(005070),042700(042700),035900(035900),003670(003670),012450(한화에어로스페이스),087010(087010),214150(214150),042660(042660),247540(에코프로비엠)"
2023-07-07,RISK_ON,10,0.0,114820632.0,"086520(086520),005070(005070),003670(003670),247540(에코프로비엠),035900(035900),042700(042700),042660(042660),214150(214150),087010(087010),012450(한화에어로스페이스)"
2023-07-14,RISK_ON,10,0.0,124867072.0,"086520(086520),042700(042700),005070(005070),003670(003670),042660(042660),087010(087010),035900(035900),012450(한화에어로스페이스),247540(에코프로비엠),214150(214150)"
2023-07-21,RISK_ON,10,0.5,140404834.0,"086520(086520),087010(087010),042700(042700),005070(005070),247540(에코프로비엠),003670(003670),403870(403870),399720(399720),035900(035900),042660(042660)"
2023-07-28,RISK_ON,10,0.8,133130364.0,"086520(086520),042700(042700),247540(에코프로비엠),003670(003670),087010(087010),005070(005070),403870(403870),005490(005490),399720(399720),039030(039030)"
2023-08-04,RISK_ON,10,0.3,130027539.0,"086520(086520),087010(087010),042700(042700),247540(에코프로비엠),003670(003670),005070(005070),403870(403870),042660(042660),039030(039030),005490(005490)"
2023-08-11,RISK_ON,10,0.6,129154330.0,"086520(086520),087010(087010),042700(042700),003670(003670),247540(에코프로비엠),005070(005070),005490(005490),042660(042660),039030(039030),403870(403870)"
2023-08-18,RISK_ON,10,0.2,127066482.0,"086520(086520),087010(087010),042700(042700),247540(에코프로비엠),039030(039030),003670(003670),403870(403870),005070(005070),214150(214150),005490(005490)"
2023-08-25,RISK_ON,10,0.0,132919613.0,"086520(086520),087010(087010),042700(042700),247540(에코프로비엠),003670(003670),005070(005070),214150(214150),039030(039030),403870(403870),005490(005490)"
2023-09-01,RISK_ON,10,0.3,134065945.0,"086520(086520),087010(087010),042700(042700),039030(039030),214150(214150),247540(에코프로비엠),036930(036930),003670(003670),403870(403870),005070(005070)"
2023-09-08,RISK_ON,10,0.6,129944145.0,"086520(086520),087010(087010),042700(042700),214150(214150),039030(039030),036930(036930),005490(005490),403870(403870),247540(에코프로비엠),307950(307950)"
2023-09-15,RISK_ON,10,0.4,126648872.0,"087010(087010),086520(086520),042700(042700),036930(036930),214150(214150),005490(005490),039030(039030),403870(403870),247540(에코프로비엠),003670(003670)"
2023-09-22,RISK_ON,10,0.9,118296694.0,"087010(087010),086520(086520),042700(042700),036930(036930),005490(005490),214150(214150),138040(138040),196170(196170),247540(에코프로비엠),039030(039030)"
2023-10-06,RISK_OFF,10,0.5,113422992.0,"087010(087010),086520(086520),042700(042700),036930(036930),138040(138040),196170(196170),039030(039030),005490(005490),214150(214150),005070(005070)"
2023-10-13,RISK_ON,10,0.65,114524124.0,"087010(087010),042700(042700),086520(086520),036930(036930),039030(039030),403870(403870),138040(138040),005490(005490),005070(005070),214150(214150)"
2023-10-20,RISK_OFF,10,0.5,108469360.0,"087010(087010),042700(042700),086520(086520),039030(039030),036930(036930),403870(403870),138040(138040),214150(214150),005070(005070),196170(196170)"
2023-10-27,RISK_OFF,10,0.25,106172759.0,"042700(042700),087010(087010),086520(086520),039030(039030),403870(403870),036930(036930),214150(214150),196170(196170),138040(138040),035900(035900)"
2023-11-03,RISK_OFF,10,0.15,108265767.0,"087010(087010),042700(042700),086520(086520),039030(039030),036930(036930),403870(403870),196170(196170),214150(214150),138040(138040),005070(005070)"
2023-11-10,RISK_OFF,10,0.2,111334779.0,"042700(042700),087010(087010),086520(086520),036930(036930),039030(039030),403870(403870),214150(214150),196170(196170),138040(138040),000660(SK하이닉스)"
2023-11-17,RISK_ON,10,0.75,111036431.0,"042700(042700),087010(087010),086520(086520),036930(036930),039030(039030),403870(403870),196170(196170),214150(214150),399720(399720),005070(005070)"
2023-11-24,RISK_ON,10,0.0,113993484.0,"087010(087010),042700(042700),086520(086520),036930(036930),039030(039030),399720(399720),196170(196170),403870(403870),214150(214150),005070(005070)"
2023-12-01,RISK_ON,10,0.1,119588801.0,"087010(087010),042700(042700),086520(086520),036930(036930),403870(403870),196170(196170),399720(399720),214150(214150),039030(039030),005070(005070)"
2023-12-08,RISK_ON,10,0.8,112684392.0,"087010(087010),042700(042700),086520(086520),403870(403870),036930(036930),112040(112040),399720(399720),196170(196170),247540(에코프로비엠),039030(039030)"
2023-12-15,RISK_ON,10,0.2,110684608.0,"087010(087010),042700(042700),086520(086520),036930(036930),403870(403870),112040(112040),247540(에코프로비엠),079550(079550),399720(399720),039030(039030)"
2023-12-22,RISK_ON,10,0.5,115368274.0,"087010(087010),042700(042700),086520(086520),399720(399720),403870(403870),036930(036930),196170(196170),028300(028300),112040(112040),247540(에코프로비엠)"
2024-01-05,RISK_ON,10,0.4,112251140.0,"087010(087010),042700(042700),399720(399720),086520(086520),196170(196170),036930(036930),403870(403870),247540(에코프로비엠),028300(028300),112040(112040)"
2024-01-12,RISK_ON,10,0.1,110893399.0,"042700(042700),087010(087010),399720(399720),196170(196170),086520(086520),036930(036930),403870(403870),247540(에코프로비엠),112040(112040),028300(028300)"
2024-01-19,RISK_ON,10,0.5,106213067.0,"399720(399720),087010(087010),042700(042700),403870(403870),036930(036930),196170(196170),086520(086520),039030(039030),028300(028300),247540(에코프로비엠)"
2024-01-26,RISK_ON,10,0.2,109056095.0,"399720(399720),028300(028300),042700(042700),403870(403870),036930(036930),087010(087010),196170(196170),086520(086520),039030(039030),073240(073240)"
